Company,Symbol,companyLow,companyFinal
1347 Property Insurance Holdings ,PIH,1347 property insurance holdings ,1347 property insurance
180 Degree Capital ,TURN,180 degree capital ,180 degree capital
1800 Flowers ,FLWS,1800 flowers ,1800 flowers
1st Century Bancshares ,FCTY,1st century bancshares ,1st century bancshares
1st Constitution Ban,FCCY,1st constitution ban,1st constitution ban
1st Source oration,SRCE,1st source oration,1st source oration
1st United Ban  (Florida),FUBC,1st united ban  (florida),1st united ban
21 Vianet Group ,VNET,21 vianet group ,21 vianet group
2U ,TWOU,2u ,2u
3M Company,MMM,3m company,3m company
3SBio ,SSRX,3sbio ,3sbio
51job  (ADR),JOBS,51job  (adr),51job (adr)
8Point3 Energy Partners ,CAFD,8point3 energy partners ,8point3 energy partners
8x8 ,EGHT,8x8 ,8x8
A C MOORE ARTS & CRAFTS,ACMR,a c moore arts & crafts,a c moore
A Schulman ,SHLM,a schulman ,a schulman
AO Smith ,AOS,ao smith ,ao smith
AAON ,AAON,aaon ,aaon
Abaxis ,ABAX,abaxis ,abaxis
Abbott Laboratories,ABT,abbott laboratories,abbott laboratories
AbbVie ,ABBV,abbvie ,abbvie
Abeona Therapeutics ,ABEO,abeona therapeutics ,abeona therapeutics
Ability ,ABIL,ability ,ability
ABIOMED ,ABMD,abiomed ,abiomed
Abraxas Petroleum ,AXAS,abraxas petroleum ,abraxas petroleum
AC Immune ,ACIU,ac immune ,ac immune
Acacia Communications ,ACIA,acacia communications ,acacia communications
Acacia Research ,ACTG,acacia research ,acacia research
Acadia Healthcare Company ,ACHC,acadia healthcare company ,acadia healthcare company
ACADIA Pharmaceuticals ,ACAD,acadia pharmaceuticals ,acadia pharmaceuticals
Acasti Pharma ,ACST,acasti pharma ,acasti pharma
Accelerate Diagnostics ,AXDX,accelerate diagnostics ,accelerate diagnostics
Accelerated Pharma ,ACCP,accelerated pharma ,accelerated pharma
Acceleron Pharma ,XLRN,acceleron pharma ,acceleron pharma
Accelrys  (Inactive),ACCL,accelrys  (inactive),accelrys (inactive)
Accenture plc,ACN,accenture plc,accenture plc
Access National oration,ANCX,access national oration,access national oration
Accuray orporated,ARAY,accuray orporated,accuray orporated
AcelRx Pharmaceuticals ,ACRX,acelrx pharmaceuticals ,acelrx pharmaceuticals
Aceto oration,ACET,aceto oration,aceto oration
